Price,Close,High,Low,Open,Volume
Ticker,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK,BBRI.JK
Date,,,,,
2023-03-21,3669.4287109375,3684.4059709821427,3624.4969308035716,3646.962820870536,214639300
2023-03-24,3748.98388671875,3788.2814117367666,3709.686361700734,3733.264876711544,266103900
2023-03-27,3725.40576171875,3764.7032908508045,3709.686750065928,3733.265267545161,144925200
2023-03-28,3748.98388671875,3756.8433917223533,3725.4053717079405,3725.4053717079405,105217100
2023-03-29,3780.422119140625,3788.281624585824,3748.98409735983,3772.562613695426,141800500
2023-03-30,3733.265380859375,3780.4224172491777,3725.405874794408,3780.4224172491777,98847200
2023-03-31,3717.546142578125,3733.2651537518173,3701.827131404433,3717.546142578125,161561800
2023-04-03,3772.5625,3772.5625000000005,3741.124479166667,3748.983984375,133511700
2023-04-04,3788.281494140625,3788.281494140625,3741.1244630932315,3772.562483791494,88097800
2023-04-05,3796.141357421875,3835.438887001812,3772.5628396739135,3780.4223455899005,119316500
2023-04-06,3804.000244140625,3819.7192534139335,3788.281234867317,3819.7192534139335,88012300
2023-04-10,3819.7197265625,3819.7197265625,3788.2817041216563,3819.7197265625,58886800
2023-04-11,3835.43896484375,3843.298470919249,3796.141434466252,3819.7199526927507,67275600
2023-04-12,3874.73583984375,3890.4548493360167,3843.2978208592162,3890.4548493360167,194839900
2023-04-13,3914.03369140625,3929.7527022151103,3874.7361643840986,3890.455175192959,141279800
2023-04-14,3988.698974609375,4008.3477380310965,3929.752684344212,3969.0502111876544,190097200
2023-04-17,3921.893310546875,3988.6991084219217,3898.3147936497994,3988.6991084219217,121231300
2023-04-18,3890.455078125,3949.4013671875005,3890.4550781250005,3921.8930989583337,95747700
2023-04-26,3949.40087890625,4047.644681864117,3874.7355886582714,4047.644681864117,273336000
2023-04-27,4047.6455078125,4047.6455078125,3921.893414365898,3921.893414365898,125947200
2023-04-28,4008.347900390625,4145.889249913833,4008.347900390625,4067.294193043428,251912000
2023-05-02,4047.6455078125,4067.294272413532,3969.050449408374,4067.294272413532,84246100
2023-05-03,4008.347900390625,4106.5917214786305,3969.0503719554226,4106.5917214786305,183524700
2023-05-04,4047.6455078125,4067.294272413532,3988.6992140094053,4047.6455078125,140482000
2023-05-05,4106.591796875,4126.240561453349,4027.996738561603,4106.591796875,182599600
2023-05-08,4008.347900390625,4126.240485696231,3969.0503719554226,4126.240485696231,107804200
2023-05-09,4027.996337890625,4027.996337890625,3949.4012873951983,3969.050050019055,102987300
2023-05-10,4047.6455078125,4047.6455078125,3969.050449408374,3988.6992140094053,108369600
2023-05-11,4047.6455078125,4067.294272413532,4008.347978610437,4067.294272413532,85618800
2023-05-12,4047.6455078125,4067.294272413532,4008.347978610437,4008.347978610437,92625800
2023-05-15,4047.6455078125,4067.294272413532,3949.4016848073425,4047.6455078125,163732600
2023-05-16,4086.942626953125,4086.942626953125,4008.3475764347954,4067.2938643235425,73611200
2023-05-17,4086.942626953125,4126.240152212289,4067.2938643235425,4126.240152212289,115834500
2023-05-19,4244.13330078125,4283.43083134404,4086.9431785300926,4106.591943811487,185672200
2023-05-22,4263.78125,4322.727534562212,4165.537442396313,4165.537442396313,162655900
2023-05-23,4322.72802734375,4401.323082386363,4303.079263583097,4303.079263583097,255251600
2023-05-24,4401.3232421875,4401.3232421875,4283.430655343192,4342.376948765346,187436100
2023-05-25,4303.0791015625,4381.674153645834,4283.430338541667,4322.727864583334,224391900
2023-05-26,4401.3232421875,4401.3232421875,4263.781890869141,4263.781890869141,154003100
2023-05-29,4362.02490234375,4420.971184807855,4303.078619879646,4401.322423986487,125049100
2023-05-30,4322.72802734375,4401.323082386363,4322.72802734375,4322.72802734375,67363200
2023-05-31,4381.67431640625,4381.67431640625,4224.484206400645,4381.67431640625,898453700
2023-06-05,4263.78125,4401.322580645161,4263.78125,4401.322580645161,255472600
2023-06-06,4283.4296875,4322.727207568807,4204.834647362385,4244.132167431193,92019300
2023-06-07,4244.13330078125,4303.079596625434,4204.83577021846,4303.079596625434,150377000
2023-06-08,4303.0791015625,4303.0791015625,4204.835286458334,4224.484049479167,92794100
2023-06-09,4263.78125,4283.430011520737,4224.483726958525,4263.78125,77251000
2023-06-12,4244.13330078125,4244.13330078125,4224.484535499855,4244.13330078125,92314200
2023-06-13,4362.02490234375,4362.02490234375,4244.132337415541,4244.132337415541,108831400
2023-06-14,4362.02490234375,4381.673663165118,4303.078619879646,4381.673663165118,79137600
2023-06-15,4342.37646484375,4342.37646484375,4283.430177990667,4303.078940275029,74388400
2023-06-16,4362.02490234375,4362.02490234375,4244.132337415541,4303.078619879646,189062600
2023-06-19,4342.37646484375,4342.37646484375,4283.430177990667,4322.727702559389,55144200
2023-06-20,4362.02490234375,4362.02490234375,4303.078619879646,4303.078619879646,102926800
2023-06-21,4381.67431640625,4381.67431640625,4322.728025154148,4322.728025154148,84605400
2023-06-22,4303.0791015625,4401.322916666667,4303.0791015625,4362.025390625,94143200
2023-06-23,4244.13330078125,4303.079596625434,4244.13330078125,4263.782066062645,123350300
2023-06-26,4283.4296875,4303.0784475344035,4224.483407396789,4263.7809274655965,85472100
2023-06-27,4263.78125,4322.727534562212,4263.78125,4283.430011520737,110716500
2023-07-03,4303.0791015625,4362.025390625,4283.430338541667,4322.727864583334,168559800
2023-07-04,4283.4296875,4322.727207568807,4263.7809274655965,4322.727207568807,94462600
2023-07-05,4283.4296875,4283.4296875,4244.132167431193,4244.132167431193,109632800
2023-07-06,4263.78125,4303.078773041474,4244.132488479262,4283.430011520737,109446200
2023-07-07,4224.484375,4263.781904069767,4224.484375,4244.133139534883,114043800
2023-07-10,4244.13330078125,4322.7283619068285,4244.13330078125,4263.782066062645,78972100
2023-07-11,4263.78125,4283.430011520737,4224.483726958525,4224.483726958525,122094700
2023-07-12,4283.4296875,4303.0784475344035,4263.7809274655965,4283.4296875,104993700
2023-07-13,4283.4296875,4303.0784475344035,4263.7809274655965,4263.7809274655965,134905700
2023-07-14,4342.37646484375,4342.37646484375,4263.781415706307,4283.430177990667,127814200
2023-07-17,4381.67431640625,4420.971843907651,4342.376788904849,4362.025552655549,166951300
2023-07-18,4420.9716796875,4479.91796875,4401.322916666667,4420.9716796875,120810300
2023-07-20,4420.9716796875,4440.620442708334,4362.025390625,4381.674153645834,111117300
2023-07-21,4420.9716796875,4420.9716796875,4381.674153645834,4401.322916666667,63094600
2023-07-24,4401.3232421875,4440.620771135603,4401.3232421875,4401.3232421875,62962500
2023-07-25,4440.62060546875,4479.918132950775,4420.971841727738,4420.971841727738,111248100
2023-07-26,4460.26953125,4479.918295704846,4440.620766795154,4479.918295704846,76200300
2023-07-27,4440.62060546875,4519.215660432798,4440.62060546875,4460.269369209762,109859200
2023-07-28,4479.91845703125,4479.91845703125,4420.972161543997,4420.972161543997,74036700
2023-07-31,4440.62060546875,4479.918132950775,4440.62060546875,4479.918132950775,186727400
2023-08-01,4479.91845703125,4519.215987356086,4440.620926706415,4440.620926706415,100137500
2023-08-02,4479.91845703125,4499.567222193668,4440.620926706415,4440.620926706415,90611300
2023-08-03,4479.91845703125,4519.215987356086,4440.620926706415,4460.2696918688325,82775000
2023-08-04,4381.67431640625,4499.566898910454,4381.67431640625,4479.918135159754,150738500
2023-08-07,4479.91845703125,4499.567222193668,4381.674631219162,4401.323396381579,88104900
2023-08-08,4420.9716796875,4519.215494791667,4401.322916666667,4479.91796875,89189600
2023-08-09,4479.91845703125,4499.567222193668,4420.972161543997,4440.620926706415,91930000
2023-08-10,4479.91845703125,4499.567222193668,4460.2696918688325,4460.2696918688325,85474200
2023-08-11,4440.62060546875,4479.918132950775,4440.62060546875,4460.269369209762,74321000
2023-08-14,4440.62060546875,4460.269369209762,4381.6743142457135,4440.62060546875,127358400
2023-08-15,4381.67431640625,4460.269371409053,4381.67431640625,4440.620607658352,89597300
2023-08-16,4342.37646484375,4381.673989412472,4283.430177990667,4362.025227128111,188191900
2023-08-18,4381.67431640625,4401.323080156951,4322.728025154148,4322.728025154148,121561200
2023-08-21,4322.72802734375,4381.67431862571,4322.72802734375,4362.025554865057,91640000
2023-08-22,4381.67431640625,4420.971843907651,4322.728025154148,4322.728025154148,101221500
2023-08-23,4401.3232421875,4420.972006661551,4381.674477713448,4401.3232421875,78686900
2023-08-24,4362.02490234375,4420.971184807855,4362.02490234375,4420.971184807855,74407500
2023-08-25,4401.3232421875,4401.3232421875,4342.376948765346,4362.025713239397,65096500
2023-08-28,4362.02490234375,4420.971184807855,4362.02490234375,4401.322423986487,37126600
2023-08-29,4401.3232421875,4401.3232421875,4342.376948765346,4342.376948765346,57547200
2023-08-30,4342.37646484375,4401.322751696833,4322.727702559389,4401.322751696833,171282700
2023-08-31,4362.02490234375,4362.02490234375,4303.078619879646,4342.376141522382,175088200
2023-09-01,4381.67431640625,4401.323080156951,4342.376788904849,4401.323080156951,87366100
2023-09-04,4420.9716796875,4420.9716796875,4381.674153645834,4401.322916666667,43898200
2023-09-05,4420.9716796875,4440.620442708334,4401.322916666667,4420.9716796875,72464300
2023-09-06,4381.67431640625,4440.620607658352,4381.67431640625,4420.971843907651,106367800
2023-09-07,4283.4296875,4362.024727637615,4283.4296875,4342.375967603211,157998600
2023-09-08,4204.8359375,4283.431001752336,4165.538405373832,4263.782235689252,243324500
2023-09-11,4263.78125,4263.78125,4165.537442396313,4204.834965437788,80474100
2023-09-12,4224.484375,4303.079433139535,4224.484375,4283.430668604651,121654400
2023-09-13,4244.13330078125,4263.782066062645,4204.83577021846,4204.83577021846,59408000
2023-09-14,4263.78125,4263.78125,4185.18620391705,4185.18620391705,76831700
2023-09-15,4224.484375,4283.430668604651,4224.484375,4244.133139534883,141455400
2023-09-18,4185.18701171875,4244.133307658451,4165.5382464055165,4204.8357770319835,61329000
2023-09-19,4224.484375,4224.484375,4165.538081395349,4185.186845930232,50612700
2023-09-20,4224.484375,4283.430668604651,4204.835610465116,4204.835610465116,98710100
2023-09-21,4204.8359375,4263.782235689252,4204.8359375,4263.782235689252,68584900
2023-09-22,4204.8359375,4263.782235689252,4204.8359375,4204.8359375,83184100
2023-09-25,4165.5380859375,4204.835615050118,4086.943027712264,4185.186850493809,120196700
2023-09-26,4086.942626953125,4145.888914841872,4086.942626953125,4126.240152212289,180280600
2023-09-27,4106.591796875,4165.538090610047,4067.2942677183014,4067.2942677183014,119774700
2023-09-29,4106.591796875,4185.186855188397,4106.591796875,4165.538090610047,140331100
2023-10-02,4126.24072265625,4165.538253348214,4126.24072265625,4126.24072265625,81674600
2023-10-03,4145.8896484375,4165.538414543839,4126.240882331162,4126.240882331162,54462700
2023-10-04,4126.24072265625,4145.889488002232,4086.9431919642852,4126.24072265625,121445000
2023-10-05,4067.294189453125,4145.889246254152,4067.2941894531255,4126.240482053895,116814800
2023-10-06,4067.294189453125,4126.240482053895,4067.2941894531255,4086.942953653382,70202300
2023-10-09,4027.996337890625,4106.591388386052,4027.996337890625,4086.9426257621953,144477000
2023-10-10,4067.294189453125,4126.240482053895,4027.996661052612,4027.996661052612,98457000
2023-10-11,4126.24072265625,4145.889488002232,4047.6456612723214,4047.6456612723214,100394800
2023-10-12,4165.5380859375,4224.484379606427,4145.889321381191,4165.5380859375,174022400
2023-10-13,4145.8896484375,4185.187180650178,4126.240882331162,4145.8896484375,84648800
2023-10-16,4126.24072265625,4185.187018694196,4126.24072265625,4185.187018694196,45782300
2023-10-17,4047.6455078125,4145.8893308176575,4047.6455078125,4126.240566216627,127287200
2023-10-18,4047.6455078125,4106.591801615595,4027.9967432114686,4027.9967432114686,77217600
2023-10-19,3929.7529296875,4047.645517578125,3929.7529296875,4008.34798828125,195831400
2023-10-20,3969.050048828125,4008.3475740640474,3898.3145034034656,3914.0335134978345,173353600
2023-10-23,3929.7529296875,3988.6992236328124,3921.893423828125,3929.7529296875,82756100
2023-10-24,4008.347900390625,4008.347900390625,3890.4553150850184,3929.7528435202207,104021500
2023-10-25,4067.294189453125,4086.942953653382,4008.3478968523555,4008.3478968523555,142215000
2023-10-26,3866.876708984375,4067.294099389053,3866.876708984375,4067.294099389053,330618800
2023-10-27,3929.7529296875,3969.050458984375,3882.59589453125,3890.455400390625,129599800
2023-10-30,3929.7529296875,3949.4016943359375,3906.174412109375,3914.03391796875,108523700
2023-10-31,3898.314697265625,3929.752719017767,3898.314697265625,3914.033708141696,106760300
2023-11-01,3796.141357421875,3898.3149343297105,3796.141357421875,3866.876910665761,191567200
2023-11-02,3929.7529296875,3988.6992236328124,3859.017376953125,3882.59589453125,208075400
2023-11-03,4008.347900390625,4067.294193043428,3949.401607737822,3949.401607737822,125504000
2023-11-06,4086.942626953125,4086.942626953125,4008.3475764347954,4008.3475764347954,122333800
2023-11-07,4126.24072265625,4145.889488002232,4067.294426618303,4106.591957310267,137039400
2023-11-08,4106.591796875,4126.240561453349,4067.2942677183014,4086.9430322966505,86713700
2023-11-09,4086.942626953125,4145.888914841872,4086.942626953125,4106.591389582707,66236400
2023-11-10,3988.698974609375,4047.6452648745385,3969.0502111876544,4047.6452648745385,113811900
2023-11-13,3949.40087890625,4027.9959212725435,3949.40087890625,3988.6984000893967,63126900
2023-11-14,3988.698974609375,4027.9965014528175,3969.0502111876544,3988.6989746093755,85419500
2023-11-15,4126.24072265625,4165.538253348214,4067.294426618303,4086.9431919642852,193790400
2023-11-16,4126.24072265625,4145.889488002232,4067.294426618303,4145.889488002232,99488800
2023-11-17,4106.591796875,4126.240561453349,4067.2942677183014,4067.2942677183014,70727500
2023-11-20,4126.24072265625,4145.889488002232,4067.294426618303,4067.294426618303,54123600
2023-11-21,4086.942626953125,4126.240152212289,4067.2938643235425,4106.591389582707,104110500
2023-11-22,4145.8896484375,4165.538414543839,4067.2945840121447,4067.2945840121447,103585500
2023-11-23,4204.8359375,4244.133469626168,4165.538405373832,4185.187171436915,174572400
2023-11-24,4244.13330078125,4283.43083134404,4224.484535499855,4244.13330078125,92571400
2023-11-27,4204.8359375,4283.431001752336,4204.8359375,4263.782235689252,76019100
2023-11-28,4204.8359375,4263.782235689252,4185.187171436915,4185.187171436915,147993400
2023-11-29,4165.5380859375,4224.484379606427,4165.5380859375,4204.835615050118,106197800
2023-11-30,4145.8896484375,4224.484712862855,4145.8896484375,4224.484712862855,224426400
2023-12-01,4204.8359375,4224.484703563084,4145.889639310747,4145.889639310747,99499500
2023-12-04,4322.72802734375,4381.67431862571,4283.430499822443,4283.430499822443,235595700
2023-12-05,4283.4296875,4322.727207568807,4263.7809274655965,4263.7809274655965,114689900
